Time,X,Y,V_x,V_y,Velocity,Mass,Pitch,Stage,Mach,Drag_Coeff,Orbital_Energy,G_Force,Dyn_Pressure,Orbit_Type,Isp,Delta_V_Rem,Kinetic_Energy,Potential_Energy,TWR,Hull_Temp
147.0499999999992,121951.6598537745,70648.33251312986,2247.2574397689627,1067.3095341576952,2485.8691917082065,175916.54309228732,21.380486975245955,1,6.675590053944916,0.6263920537087848,-58787634.56826759,4.403097204311594,606.3744894273474,Bekliyor,310.9909228455749,435.6460039423566,543542153283.9728,120543407751.25577,4.405408998155802,2590.3370079704637
150.04999999999987,128880.84687067068,73881.31823940888,2371.2503710987125,1087.4888101685308,2606.6626044170666,168440.62998044025,19.78252639296234,1,6.997023838954926,0.6167030308731313,-58449031.89900407,4.599168583659504,450.5011515405658,Bekliyor,310.9938615698523,303.2080862329508,572250926440.571,120641995836.71817,4.600934596084203,2854.9029256104272
153.05000000000055,136192.48400411225,77173.04759865168,2502.193139633997,1106.4710928289046,2733.744007908806,160964.77559390475,18.192018953293967,1,7.333395706848747,0.6070425245455546,-58078135.57637133,4.813278891866108,332.27369641915857,Bekliyor,310.99587832406326,164.75462141872038,601473559943.9563,120362672563.36702,4.814620583937073,3148.630249290522
156.05000000000123,143908.2337408319,80519.73348901572,2640.631112128682,1124.1259078378969,2867.6532097771797,153488.96134673938,16.610248125230186,1,7.686060142396067,0.597391471313425,-57671038.38798097,5.04810635767945,243.45430861476055,Bekliyor,310.9972508525866,19.714342241081948,631103243172.6962,119687696949.63017,5.049120894840747,3475.2451318710264
159.05000000000192,151907.32659810781,83875.92971176651,2677.7002181773632,1109.4141918207185,2898.223933614587,126794.29325070661,15.056760579121647,2,7.726147185863725,0.5963233502071411,-57550773.76647897,0.7503245552769383,163.86079512519666,Bekliyor,347.9979509333828,7065.8659437044025,532517137361.82526,102939289927.58893,0.7511496917595519,3552.1884192162947
162.0500000000026,159973.09221311775,87173.99171975607,2699.1673078543163,1089.5514746471408,2910.5690026268985,125973.24191591848,13.560810444810636,2,7.712788026162436,0.5966786722569215,-57483374.20412206,0.7554899332204238,109.53513300502881,Bekliyor,347.99862552253626,7043.708974485197,533585611524.1004,106239848273.61513,0.7560454334874381,3583.4128585551393
165.05000000000328,168103.69109398974,90411.79896491274,2720.914725921406,1069.2532629938553,2923.25611244897,125152.19187898333,12.120120522089252,2,7.701752291788704,0.5969726735683787,-57415429.692030355,0.7606284897321887,73.80019345246373,Bekliyor,347.99907127875144,7021.4023629334215,534739415928.2184,109412772847.6311,0.7610054035987868,3615.622417062673
168.05000000000396,176299.9379648634,93588.06032982319,2742.9256117875766,1048.529696780852,2936.2839325510618,124331.14270232865,10.732236972015064,2,7.69299749613589,0.5972062165556626,-57346941.66030203,0.7657730880208137,50.12466196815859,Bekliyor,347.9993677814281,6998.945833229889,535976843622.9573,112458249338.43297,0.7660308770760995,3648.8309840601037
171.05000000000464,184562.6001013005,96701.51562004555,2765.185095471936,1027.3912193235997,2949.6524882292483,123510.09409973264,9.394968872665897,2,7.686487611929783,0.5973800512253853,-57277906.95537141,0.7709454096099467,34.324038855964915,Bekliyor,347.99956633986915,6976.338488661118,537296686835.3311,115376535665.09775,0.7711231619274158,3683.056016547375
174.05000000000533,192892.4027713206,99750.93626082687,2787.6799684770785,1005.8484472556213,2963.3628105831635,122689.04588281762,8.106351776099306,2,7.682191814183448,0.5974948455299991,-57208318.78582238,0.7761600180797914,23.700638784507316,Bekliyor,347.99970022408814,6953.579022589724,538698102782.60114,118167961063.75835,0.7762836006003769,3718.3177152262633
177.050000000006,201290.03759645944,102735.12722558666,2810.400996558238,983.9131321959621,2977.4194001602073,121867.9979268227,6.864616962536942,2,7.680091464049187,0.5975509960548622,-57138159.30208925,0.7815135713423926,0.0,Bekliyor,347.99979113204887,6930.665851056949,540181502427.3132,120832926598.11479,0.7815135713423926,3754.6455761771667
